Id,Ni,Mn,Co,Li,dapant,dopant_ratio,tem, holding_time
1,95,0,4,101,Al,1,800,10
2,95,0,4,101,Ti,1,800,10
3,95,0,4,101,Ta,1,800,10
4,95,0,4,101,Sb,1,800,10
5,95,0,4,101,Nb,1,800,10
6,95,0,4,101,W,1,800,10
7,95,0,4,101,Mo,1,800,10
8,95,0,4,101,Al,1,700,10
10,94,2,3,101,Mo,1,700,10
11,95,0,4,101,Al,1,700,30
12,95,0,4,101,Al,1,700,60
13,95,0,4,101,Mo,1,700,10
14,95,0,4,101,Mo,1,700,30
15,95,0,4,101,Mo,1,700,60
16,95,0,4,101,Al,1,750,10
17,95,0,4,101,Mo,1,750,10
18,99,0,0,101,W,1,770,10
19,98.5,0,0,101,W,1.5,790,10
20,98,0,0,101,W,2,810,10
21,80,10,10,110,Y,1,780,15
22,80,10,10,110,Y,2,780,15
23,80,10,10,110,Y,3,780,15
24,80,10,10,110,Y,4,780,15
25,88,0,10,101,Al,2,720,10
26,86,0,10,101,Al,4,720,10
27,84,0,10,101,Al,6,720,10
28,94.35,1.82,2.9,101,Al,0.93,680,10
29,94.35,1.82,2.9,101,Al,0.93,700,10
30,94.35,1.82,2.9,101,Al,0.93,730,10
31,94.35,1.82,2.9,101,Al,0.93,750,10
48,92,3.3,4,101,Al,0.7,750,10
49,92,3.3,4,101,Nb,0.7,770,10
51,94,3,3,103,Zr,0.15,680,24
52,94,3,3,103,Ga,0.1,680,24
54,80,17,0,105,Al,3,780,12
55,80,15,0,105,Al,5,780,12
56,80,10,0,105,Al,10,780,12
57,80,15,5,101,F,0.5,770,10
58,80,15,5,101,F,1,770,10
59,80,15,5,101,F,2,770,10
60,90,5,5,104,Mo,0.5,760,10
61,90,5,5,104,Mo,1,760,10
62,90,5,5,104,Mo,1.5,760,10
63,94.651,0,3.882,101,Nb,0.374,700,10
64,95.658,0,3.872,101,Nb,0.47,700,10
65,95.393,0,4.041,101,Nb,0.566,700,10
66,95.696,0,0,101,Al,4.304,650,10
67,95.696,0,0,101,Al,4.304,680,10
68,99.254,0,0,101,Ti,0.746,650,10
69,99.254,0,0,101,Ti,0.746,680,10
70,99.254,0,0,101,Ti,0.746,700,10
74,99,0,0,101,Ti,1,680,10
75,98,0,0,101,Al,2,650,10
76,94,0,0,101,Al,6,650,10
83,98.6,0,0,101,Zr,1.4,650,10
1,90,0,10,101,Al,1,730,10h
2,90,0,10,101,Mg,1,730,10h
3,90,0,10,101,Ti,1,730,10h
4,90,0,10,101,Ta,1,730,10h
5,90,0,10,101,Mo,1,730,10h
6,90,0,10,101,Al,1,730,10h
7,90,0,10,101,Mg,1,730,10h
8,90,0,10,101,Ti,1,730,10h
9,90,0,10,101,Ta,1,730,10h
10,90,0,10,101,Mo,1,730,10h
11,90,7,3,101,Ta,1,730,10h
12,90,10,0,101,Ta,1,730,10h
13,90,0,10,101,Al,1,730,10h
14,90,0,10,101,Al,1,750,10h
15,90,0,10,101,Al,1,770,10h
16,90,0,10,101,Al,1,790,10h
17,90,0,10,101,Al,1,850,10h
18,90,0,10,101,Ta,1,730,10h
19,90,0,10,101,Ta,1,750,10h
20,90,0,10,101,Ta,1,770,10h
21,90,0,10,101,Ta,1,90,10h
22,90,0,10,101,Ta,1,850,10h
23,84,6,10,105,V,0.50%,760,15h
24,84,6,10,105,V,1%,760,15h
25,84,6,10,105,V,2%,760,15h
26,94,0,6,103,Al,2,680,12
27,95,0,5,102,Te,1,740,12
28,95,0,5,102,Te,1,740,12
29,85,5,10,103,W,1,760,6
30,85,5,10,103,W,1,900,6
31,50,20,30,105,Al,0.01,700,12
32,100,0,0,103,Nb,1,700,16
33,100,0,0,103,Nb,1,700,16
34,100,0,0,103,Nb,1,750,16
35,90,5,5,101,Al,0.5,750,28
36,90,5,5,101,Al,1,750,28
37,90,5,5,101,Al,2,750,28
38,90,5,5,101,Al,3,750,28
39,90,5,5,101,Al,5,750,28
40,80,10,10,101,Na,5,800,15
41,80,10,10,101,Na,10,800,15
42,80,10,10,101,Na,15,800,15
43,80,20,0,103,Al,1,700,8
44,80,1,1,103,B,1,800,10
45,80,1,1,103,B,2,800,10
46,80,1,1,103,B,3,800,10
47,80,1,1,103,B,4,800,10
50,90,10,0,103,Mg,1,730,12
51,90,10,0,103,Fe,1,730,12
53,92,4,4,103,Al,0.4,750,12
54,92,4,4,103,Nb,0.8,750,12
56,85,0,15,105,Al,5,750,12
57,80,10,10,105,Na,0.5,750,15
58,80,10,10,105,Na,1,750,15
59,80,10,10,105,Na,2,750,15
60,90,0,Al(10),102,Mg,1,780,10
61,90,0,Al(10),102,W,1,780,10
64,60,35,5,105,Na,2,870,10
65,83,5,12,105,Mg,0.72,750,10
