列名,均值,标准差,非缺失值数量,缺失值数量,缺失值百分比(%)
0,86.14270022883295,14.83621782011179,437,0,0.0
1,7.395544041450778,9.974249825093638,386,51,11.67
2,6.597870813397129,5.16815697660488,418,19,4.35
3,175775.33532337993,3167279.473075693,325,112,25.63
4,79.13729946524066,44.148891113156424,374,63,14.42
5,645.625,167.74476579498062,32,405,92.68
6,567.8077922077922,210.38556975219743,385,52,11.9
7,45.52316076294278,161.16286397433038,367,70,16.02
8,766.5196078431372,48.37400075054707,204,233,53.32
9,13.22072072072072,4.747080400508295,222,215,49.2
