0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
95.0,0.0,5.0,92.719,101,1.0,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,22.0,47.867,22.0,1.54,5.0,658.8,7.6,147.0,74.0,3.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,51.0,121.76,51.0,2.05,2.0,834.0,103.2,140.0,76.0,5.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,41.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,700.0,10.0,,2,2.8726,14.1896,1.6465455219999998,101.4030685,,,
95.0,0.0,5.0,92.719,101,,,,,,,,,,,,,,700.0,10.0,,2,,,,,,,
95.0,2.0,3.0,92.6391,101,,,,,,,,,,,,,,700.0,10.0,,2,,,,,,,
95.0,2.0,3.0,92.6391,101,1.0,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,700.0,20.0,,2,2.8729,14.1885,1.646245954,101.4163871,,,
95.0,0.0,5.0,92.719,101,1.0,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,700.0,30.0,,2,2.8734,14.1871,1.645797081,101.4416808,,,
95.0,0.0,5.0,92.719,101,1.0,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,700.0,60.0,,2,2.8737,14.1863,1.645532473,101.4571427,,,
95.0,0.0,5.0,92.719,101,1.0,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,10.0,,2,2.8751,14.1985,1.646145641,101.64335859999998,,,
95.0,0.0,5.0,92.719,101,1.0,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,20.0,,2,2.8756,14.1927,1.645187091,101.6371795,,,
95.0,0.0,5.0,92.719,101,1.0,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,30.0,,2,2.8759,14.1889,1.6445750319999999,101.631169,,,
95.0,0.0,5.0,92.719,101,1.0,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,60.0,,2,2.8761,14.1861,1.644136157,101.6252467,,,
95.0,0.0,5.0,92.719,101,1.0,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,750.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,750.0,10.0,,2,,,,,,,
83.22,5.01,11.77,92.5471225,103,,,,,,,,,,,,500.0,6.0,780.0,12.0,,3,2.8688,14.1837,1.6480409930000002,101.0929135,,,
82.91,4.99,11.71,92.3188268,103,0.39,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,500.0,6.0,780.0,12.0,,3,2.8739,14.2072,1.647842073,101.62075820000001,,,
83.13,4.98,11.73,92.4542442,103,,,,,,,,,,,,500.0,6.0,780.0,12.0,,3,2.8762,14.2181,1.64778759,101.8615687,,,
90.0,0.0,10.0,92.73100000000001,103,,,,,,,,,,,,,,730.0,10.0,,,2.8731,14.1863,1.645876115,101.41478070000001,,,
90.0,0.0,10.0,92.73100000000001,103,0.5,42.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,730.0,10.0,,,2.8732,14.186,1.645784027,101.41969559999998,,,
