0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Unnamed: 27,Unnamed: 28
95.0,0.0,5.0,92.719,101,1.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,2.0,47.867,22.0,1.54,5.0,658.8,7.6,147.0,74.0,3.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,4.0,121.76,51.0,2.05,2.0,834.0,103.2,140.0,76.0,5.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,5.0,92.90638,41.0,1.6,1.0,652.1,88.0,146.0,72.0,5.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,800.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,700.0,10.0,,2,2.8726,14.1896,1.6465455220589944,101.40306846695061,,,
95.0,0.0,5.0,92.719,101,,,,,,,,,,,,,,700.0,10.0,,2,,,,,,,
95.0,2.0,3.0,92.6391,101,,,,,,,,,,,,,,700.0,10.0,,2,,,,,,,
95.0,2.0,3.0,92.6391,101,1.0,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,700.0,20.0,,2,2.8729,14.1885,1.646245953566083,101.41638706660295,,,
95.0,0.0,5.0,92.719,101,1.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,700.0,30.0,,2,2.8734,14.1871,1.6457970812742162,101.44168080226883,,,
95.0,0.0,5.0,92.719,101,1.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,700.0,60.0,,2,2.8737,14.1863,1.6455324726543015,101.45714271882431,,,
95.0,0.0,5.0,92.719,101,1.0,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,10.0,,2,2.8751,14.1985,1.6461456413110265,101.64335855140702,,,
95.0,0.0,5.0,92.719,101,1.0,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,20.0,,2,2.8756,14.1927,1.6451870913896232,101.63717947737368,,,
95.0,0.0,5.0,92.719,101,1.0,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,30.0,,2,2.8759,14.1889,1.6445750315843155,101.63116904554974,,,
95.0,0.0,5.0,92.719,101,1.0,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,700.0,60.0,,2,2.8761,14.1861,1.6441361566009527,101.62524668507557,,,
95.0,0.0,5.0,92.719,101,1.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,750.0,10.0,,2,,,,,,,
95.0,0.0,5.0,92.719,101,1.0,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,750.0,10.0,,2,,,,,,,
83.22,5.01,11.77,92.5471225,103,,,,,,,,,,,,500.0,6.0,780.0,12.0,,3,2.8688,14.1837,1.6480409927495818,101.09291348627426,,,
82.91,4.99,11.71,92.3188268,103,0.39,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,500.0,6.0,780.0,12.0,,3,2.8739,14.2072,1.647842072909055,101.6207581538099,,,
83.13,4.98,11.73,92.45424419999999,103,,,,,,,,,,,,500.0,6.0,780.0,12.0,,3,2.8762,14.2181,1.6477875901073178,101.86156866407629,,,
90.0,0.0,10.0,92.731,103,,,,,,,,,,,,,,730.0,10.0,,,2.8731,14.1863,1.6458761152297752,101.41478065552029,,,
90.0,0.0,10.0,92.731,103,0.5,7.0,95.95,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,,,730.0,10.0,,,2.8732,14.186,1.6457840271010256,101.41969560091816,,,
90.0,0.0,10.0,92.731,103,0.5,8.0,10.81,5.0,2.04,2.0,800.6,26.7,87.0,27.0,3.0,,,730.0,10.0,,,2.8731,14.1859,1.6458297077488893,101.41192114230951,,,
90.0,0.0,10.0,92.731,103,,,,,,,,,,,,,,730.0,10.0,,,2.8726,14.1861,1.6461393859221614,101.37805643422,,,
100.0,0.0,0.0,92.707,101,,,,,,,,,,,,,,650.0,10.0,,,2.87594,14.1977,1.6455721143927435,101.6970298991226,1.89,,
100.0,0.0,0.0,92.707,101,1.0,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,,,770.0,10.0,,,2.87887,14.2044,1.6446730835362484,101.95244220126337,1.4,,
100.0,0.0,0.0,92.707,101,1.5,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,,,790.0,10.0,,,2.88035,14.2078,1.6442214777139352,102.08172341437053,1.28,,
100.0,0.0,0.0,92.707,101,2.0,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,,,810.0,10.0,,,2.88159,14.2098,1.6437452933970478,102.18401754772712,1.26,,
77.6,9.7,9.7,90.605255,105,0.03,2.0,47.867,22.0,1.54,5.0,658.8,7.6,147.0,74.0,3.0,260.0,2.0,750.0,6.0,,3,2.8749,14.2002,1.64645726807889,101.6413860140198,1.22,,
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,260.0,2.0,750.0,6.0,,3,2.8773,14.2262,1.6480960159408706,101.99757184829099,1.08,,
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,500.0,4.0,750.0,12.0,,,2.872954,14.199643,1.647507872849107,101.4998504094057,2.03226,,
80.0,10.0,10.0,92.3555,105,0.25,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,,,2.878856,14.230316,1.6476818106451543,102.13746155016341,1.94545,,
80.0,10.0,10.0,92.3555,105,0.5,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,,,2.879934,14.231806,1.647237517711633,102.22466991372956,1.76528,,
80.0,10.0,10.0,92.3555,105,1.0,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,,,2.880388,14.23324,1.6471438338631232,102.26720578816867,1.4943,,
80.0,10.0,10.0,92.3555,105,2.0,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,,,2.882742,14.240798,1.6466727395884428,102.48882380535471,1.41264,,
80.0,10.0,10.0,92.3555,108,,,,,,,,,,,,550.0,5.0,800.0,16.0,,,2.86991,14.20054,1.649359503724275,101.29127696279423,1.48809,,
80.0,10.0,10.0,92.3555,108,5.0,9.0,39.098,19.0,0.82,3.0,418.8,48.4,243.0,138.0,1.0,550.0,5.0,800.0,16.0,,,2.87666,14.21925,1.647657352624224,101.90239485834438,1.51356,,
