0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
95,0,5,92.719,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,800,10,,2,,,,,,,
95,0,5,92.719,101,1,Ti,47.867,22,1.54,5,658.8,7.6,147,74,3,,,800,10,,2,,,,,,,
95,0,5,92.719,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,800,10,,2,,,,,,,
95,0,5,92.719,101,1,Sb,121.76,51,2.05,2,834,103.2,140,76,5,,,800,10,,2,,,,,,,
95,0,5,92.719,101,1,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,,,800,10,,2,,,,,,,
95,0,5,92.719,101,1,W,183.84,74,2.36,5,770,78.6,139,66,6,,,800,10,,2,,,,,,,
95,0,5,92.719,101,1,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,800,10,,2,,,,,,,
95,0,5,92.719,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,700,10,,2,2.8726,14.1896,1.646545522,101.4030685,,,
95,0,5,92.719,101,,,,,,,,,,,,,,700,10,,2,,,,,,,
95,2,3,92.6391,101,,,,,,,,,,,,,,700,10,,2,,,,,,,
95,2,3,92.6391,101,1,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,700,10,,2,,,,,,,
95,0,5,92.719,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,700,20,,2,2.8729,14.1885,1.646245954,101.4163871,,,
95,0,5,92.719,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,700,30,,2,2.8734,14.1871,1.645797081,101.4416808,,,
95,0,5,92.719,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,700,60,,2,2.8737,14.1863,1.645532473,101.4571427,,,
95,0,5,92.719,101,1,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,700,10,,2,2.8751,14.1985,1.646145641,101.6433586,,,
95,0,5,92.719,101,1,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,700,20,,2,2.8756,14.1927,1.645187091,101.6371795,,,
95,0,5,92.719,101,1,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,700,30,,2,2.8759,14.1889,1.644575032,101.631169,,,
95,0,5,92.719,101,1,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,700,60,,2,2.8761,14.1861,1.644136157,101.6252467,,,
95,0,5,92.719,101,1,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,750,10,,2,,,,,,,
95,0,5,92.719,101,1,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,750,10,,2,,,,,,,
83.22,5.01,11.77,92.5471225,103,,,,,,,,,,,,500,6,780,12,,3,2.8688,14.1837,1.648040993,101.0929135,,,
82.91,4.99,11.71,92.3188268,103,0.39,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,500,6,780,12,,3,2.8739,14.2072,1.647842073,101.6207582,,,
83.13,4.98,11.73,92.4542442,103,,,,,,,,,,,,500,6,780,12,,3,2.8762,14.2181,1.64778759,101.8615687,,,
90,0,10,92.731,103,,,,,,,,,,,,,,730,10,,,2.8731,14.1863,1.645876115,101.4147807,,,
90,0,10,92.731,103,0.5,Mo,95.95,42,2.16,7,684.3,72.1,139,69,6,,,730,10,,,2.8732,14.186,1.645784027,101.4196956,,,
90,0,10,92.731,103,0.5,B,10.81,5,2.04,2,800.6,26.7,87,27,3,,,730,10,,,2.8731,14.1859,1.645829708,101.4119211,,,
90,0,10,92.731,103,,,,,,,,,,,,,,730,10,,,2.8726,14.1861,1.646139386,101.3780564,,,
100,0,0,92.707,101,,,,,,,,,,,,,,650,10,,,2.87594,14.1977,1.645572114,101.6970299,1.89,,
100,0,0,92.707,101,1,W,183.84,74,2.36,5,770,78.6,139,66,6,,,770,10,,,2.87887,14.2044,1.644673084,101.9524422,1.4,,
100,0,0,92.707,101,1.5,W,183.84,74,2.36,5,770,78.6,139,66,6,,,790,10,,,2.88035,14.2078,1.644221478,102.0817234,1.28,,
100,0,0,92.707,101,2,W,183.84,74,2.36,5,770,78.6,139,66,6,,,810,10,,,2.88159,14.2098,1.643745293,102.1840175,1.26,,
77.6,9.7,9.7,90.605255,105,0.03,Ti,47.867,22,1.54,5,658.8,7.6,147,74,3,260,2,750,6,,3,2.8749,14.2002,1.646457268,101.641386,1.22,,
80,10,10,92.3555,105,,,,,,,,,,,,260,2,750,6,,3,2.8773,14.2262,1.648096016,101.9975718,1.08,,
80,10,10,92.3555,105,,,,,,,,,,,,500,4,750,12,,,2.872954,14.199643,1.647507873,101.4998504,2.03226,,
80,10,10,92.3555,105,0.25,W,183.84,74,2.36,5,770,78.6,139,66,6,500,4,750,12,,,2.878856,14.230316,1.647681811,102.1374616,1.94545,,
80,10,10,92.3555,105,0.5,W,183.84,74,2.36,5,770,78.6,139,66,6,500,4,750,12,,,2.879934,14.231806,1.647237518,102.2246699,1.76528,,
80,10,10,92.3555,105,1,W,183.84,74,2.36,5,770,78.6,139,66,6,500,4,750,12,,,2.880388,14.23324,1.647143834,102.2672058,1.4943,,
80,10,10,92.3555,105,2,W,183.84,74,2.36,5,770,78.6,139,66,6,500,4,750,12,,,2.882742,14.240798,1.64667274,102.4888238,1.41264,,
80,10,10,92.3555,108,,,,,,,,,,,,550,5,800,16,,,2.86991,14.20054,1.649359504,101.291277,1.48809,,
80,10,10,92.3555,108,5,K,39.098,19,0.82,3,418.8,48.4,243,138,1,550,5,800,16,,,2.87666,14.21925,1.647657353,101.9023949,1.51356,,
80,10,10,92.3555,108,5,Ti,47.867,22,1.54,5,658.8,7.6,147,74,3,550,5,800,16,,,2.87084,14.20788,1.649677446,101.4093244,1.52509,,
80,10,10,92.3555,108,,,,,,,,,,,,550,5,800,16,,,2.87924,14.24974,1.649710803,102.3041629,1.54482,,
80,10,10,92.3555,100,,,,,,,,,,,,550,4,780,12,,,2.87121,14.20621,1.649270981,101.423543,2.195,,
80,10,10,92.3555,100,0.01,Mg,24.305,12,1.31,3,737.7,0,145,72,2,550,4,780,12,,,2.86898,14.19296,1.649013471,101.1716078,2.367,,
80,10,10,92.3555,100,0.03,Mg,24.305,12,1.31,3,737.7,0,145,72,2,550,4,780,12,,,2.86885,14.21622,1.651790787,101.3282285,2.386,,
80,10,10,92.3555,100,0.05,Mg,24.305,12,1.31,3,737.7,0,145,72,2,550,4,780,12,,,2.8688,14.19893,1.649810606,101.2014638,2.344,,
80,10,10,92.3555,100,0.06,Mg,24.305,12,1.31,3,737.7,0,145,72,2,550,4,780,12,,,2.8716,14.2047,1.648871709,101.4403145,2.296,,
80,10,10,92.3555,110,,,,,,,,,,,,470,6,780,15,,,2.8691,14.1817,1.647636309,101.0998001,,,
