Id,Ni,Mn,Co,Li,dapant,dopant_ratio,tem, holding_time
1,95.0,0.0,4,101,0,1,800,10
2,95.0,0.0,4,101,24,1,800,10
3,95.0,0.0,4,101,21,1,800,10
4,95.0,0.0,4,101,17,1,800,10
5,95.0,0.0,4,101,16,1,800,10
6,95.0,0.0,4,101,26,1,800,10
7,95.0,0.0,4,101,14,1,800,10
8,95.0,0.0,4,101,0,1,700,10
10,94.0,2.0,3,101,14,1,700,10
11,95.0,0.0,4,101,0,1,700,30
12,95.0,0.0,4,101,0,1,700,60
13,95.0,0.0,4,101,14,1,700,10
14,95.0,0.0,4,101,14,1,700,30
15,95.0,0.0,4,101,14,1,700,60
16,95.0,0.0,4,101,0,1,750,10
17,95.0,0.0,4,101,14,1,750,10
18,99.0,0.0,0,101,26,1,770,10
19,98.5,0.0,0,101,26,1.5,790,10
20,98.0,0.0,0,101,26,2,810,10
21,80.0,10.0,10,110,27,1,780,15
22,80.0,10.0,10,110,27,2,780,15
23,80.0,10.0,10,110,27,3,780,15
24,80.0,10.0,10,110,27,4,780,15
25,88.0,0.0,10,101,0,2,720,10
26,86.0,0.0,10,101,0,4,720,10
27,84.0,0.0,10,101,0,6,720,10
28,94.35,1.82,2.9,101,0,0.93,680,10
29,94.35,1.82,2.9,101,0,0.93,700,10
30,94.35,1.82,2.9,101,0,0.93,730,10
31,94.35,1.82,2.9,101,0,0.93,750,10
48,92.0,3.3,4,101,0,0.7,750,10
49,92.0,3.3,4,101,16,0.7,770,10
51,94.0,3.0,3,103,29,0.15,680,24
52,94.0,3.0,3,103,10,0.1,680,24
54,80.0,17.0,0,105,0,3,780,12
55,80.0,15.0,0,105,0,5,780,12
56,80.0,10.0,0,105,0,10,780,12
57,80.0,15.0,5,101,8,0.5,770,10
58,80.0,15.0,5,101,8,1,770,10
59,80.0,15.0,5,101,8,2,770,10
60,90.0,5.0,5,104,14,0.5,760,10
61,90.0,5.0,5,104,14,1,760,10
62,90.0,5.0,5,104,14,1.5,760,10
63,94.65100000000001,0.0,3.882,101,16,0.374,700,10
64,95.65799999999999,0.0,3.872,101,16,0.47,700,10
65,95.39299999999999,0.0,4.041,101,16,0.566,700,10
66,95.696,0.0,0,101,0,4.304,650,10
67,95.696,0.0,0,101,0,4.304,680,10
68,99.25399999999999,0.0,0,101,24,0.746,650,10
69,99.25399999999999,0.0,0,101,24,0.746,680,10
70,99.25399999999999,0.0,0,101,24,0.746,700,10
74,99.0,0.0,0,101,24,1,680,10
75,98.0,0.0,0,101,0,2,650,10
76,94.0,0.0,0,101,0,6,650,10
83,98.6,0.0,0,101,29,1.4,650,10
1,90.0,0.0,10,101,0,1,730,10h
2,90.0,0.0,10,101,13,1,730,10h
3,90.0,0.0,10,101,24,1,730,10h
4,90.0,0.0,10,101,21,1,730,10h
5,90.0,0.0,10,101,14,1,730,10h
6,90.0,0.0,10,101,0,1,730,10h
7,90.0,0.0,10,101,13,1,730,10h
8,90.0,0.0,10,101,24,1,730,10h
9,90.0,0.0,10,101,21,1,730,10h
10,90.0,0.0,10,101,14,1,730,10h
11,90.0,7.0,3,101,21,1,730,10h
12,90.0,10.0,0,101,21,1,730,10h
13,90.0,0.0,10,101,0,1,730,10h
14,90.0,0.0,10,101,0,1,750,10h
15,90.0,0.0,10,101,0,1,770,10h
16,90.0,0.0,10,101,0,1,790,10h
17,90.0,0.0,10,101,0,1,850,10h
18,90.0,0.0,10,101,21,1,730,10h
19,90.0,0.0,10,101,21,1,750,10h
20,90.0,0.0,10,101,21,1,770,10h
21,90.0,0.0,10,101,21,1,90,10h
22,90.0,0.0,10,101,21,1,850,10h
23,84.0,6.0,10,105,25,0.50%,760,15h
24,84.0,6.0,10,105,25,1%,760,15h
25,84.0,6.0,10,105,25,2%,760,15h
26,94.0,0.0,6,103,0,2,680,12
27,95.0,0.0,5,102,23,1,740,12
28,95.0,0.0,5,102,23,1,740,12
29,85.0,5.0,10,103,26,1,760,6
30,85.0,5.0,10,103,26,1,900,6
31,50.0,20.0,30,105,0,0.01,700,12
32,100.0,0.0,0,103,16,1,700,16
33,100.0,0.0,0,103,16,1,700,16
34,100.0,0.0,0,103,16,1,750,16
35,90.0,5.0,5,101,0,0.5,750,28
36,90.0,5.0,5,101,0,1,750,28
37,90.0,5.0,5,101,0,2,750,28
38,90.0,5.0,5,101,0,3,750,28
39,90.0,5.0,5,101,0,5,750,28
40,80.0,10.0,10,101,15,5,800,15
41,80.0,10.0,10,101,15,10,800,15
42,80.0,10.0,10,101,15,15,800,15
43,80.0,20.0,0,103,0,1,700,8
44,80.0,1.0,1,103,1,1,800,10
45,80.0,1.0,1,103,1,2,800,10
46,80.0,1.0,1,103,1,3,800,10
47,80.0,1.0,1,103,1,4,800,10
50,90.0,10.0,0,103,13,1,730,12
51,90.0,10.0,0,103,9,1,730,12
53,92.0,4.0,4,103,0,0.4,750,12
54,92.0,4.0,4,103,16,0.8,750,12
56,85.0,0.0,15,105,0,5,750,12
57,80.0,10.0,10,105,15,0.5,750,15
58,80.0,10.0,10,105,15,1,750,15
59,80.0,10.0,10,105,15,2,750,15
60,90.0,0.0,Al(10),102,13,1,780,10
61,90.0,0.0,Al(10),102,26,1,780,10
64,60.0,35.0,5,105,15,2,870,10
65,83.0,5.0,12,105,13,0.72,750,10
66,83.0,5.0,12,105,13,0.96,750,10
67,83.0,5.0,12,105,13,1.2,750,10
68,83.0,5.0,12,105,13,1.45,750,10
69,60.0,20.0,20,105,24,1,850,10
70,80.0,10.0,10,105,24,0.05,900,10
71,80.0,10.0,10,105,24,1,900,10
72,90.0,5.0,5,101,28,0.05,750,20
73,90.0,5.0,5,101,28,0.5,750,20
74,90.0,5.0,0,101,28,5,750,20
75,94.0,3.0,3,103,1,0.25,680,24
76,90.0,5.0,5,108,14,1,775,6
77,92.0,4.0,4,108,26,0.25,780,10
78,92.0,4.0,4,108,26,0.5,780,10
79,92.0,4.0,4,108,26,1,780,10
80,92.0,4.0,4,108,26,2,780,10
81,60.0,20.0,20,103,1,2,780,18
82,60.0,20.0,20,103,24,2,780,18
83,60.0,20.0,20,103,29,2,780,18
84,85.0,5.0,15,105,13,0.5,740,15
85,85.0,5.0,15,105,13,1,740,15
86,85.0,5.0,15,105,13,3,740,15
87,85.0,5.0,15,105,13,5,740,15
1,94.0,4.0,2,101,21,1,680,10
2,94.0,4.0,2,101,21,1,700,10
3,94.0,4.0,2,101,21,1,730,10
4,94.0,4.0,2,101,21,1,750,10
5,94.0,4.0,2,101,21,1,780,10
6,100.0,0.0,0,101,0,1,650,10
7,100.0,0.0,0,101,0,1,680,10
8,100.0,0.0,0,101,0,1,700,10
9,100.0,0.0,0,101,0,1,730,10
10,100.0,0.0,0,101,0,1,750,10
11,100.0,0.0,0,101,16,1,650,10
12,100.0,0.0,0,101,16,1,680,10
13,100.0,0.0,0,101,16,1,700,10
14,100.0,0.0,0,101,16,1,730,10
15,100.0,0.0,0,101,16,1,750,10
16,100.0,0.0,0,101,16,1,770,10
17,100.0,0.0,0,101,16,1,800,10
18,100.0,0.0,0,101,21,3,650,10
19,100.0,0.0,0,101,21,3,680,10
20,100.0,0.0,0,101,21,3,700,10
21,100.0,0.0,0,101,21,3,730,10
22,100.0,0.0,0,101,21,3,750,10
23,100.0,0.0,0,101,21,3,770,10
24,100.0,0.0,0,101,21,3,800,10
25,100.0,0.0,0,101,14,1,650,10
26,100.0,0.0,0,101,14,1,680,10
27,100.0,0.0,0,101,14,1,700,10
28,100.0,0.0,0,101,14,1,730,10
29,100.0,0.0,0,101,14,1,750,10
30,100.0,0.0,0,101,14,1,770,10
31,100.0,0.0,0,101,14,1,800,10
32,90.0,4.0,5,102,13,1,480,3
33,90.0,3.5,5,102,13,1,480,3
34,90.0,3.0,5,102,13,1,480,3
35,90.0,5.0,4,102,13,1,480,3
36,80.0,4.0,4,105,29,2,800,10
38,90.0,5.0,5,103,17,3,730,10
40,90.0,5.0,5,102,0,5,720,15
41,80.0,15.0,5,105,15,1,750,12
42,80.0,15.0,5,105,15,2,750,12
43,80.0,15.0,5,105,15,5,750,12
44,90.0,5.0,5,105,8,1,750,12
45,90.0,5.0,5,105,8,2,750,12
46,90.0,5.0,5,105,8,4,750,12
47,70.0,30.0,0,102,5,2,800,10
48,70.0,30.0,0,102,5,10,800,10
49,70.0,30.0,0,102,5,15,800,10
50,80.0,1.0,1,105,3,2,800,12
51,80.0,1.0,1,105,3,4,800,12
52,80.0,1.0,1,105,3,6,800,12
53,80.0,1.0,1,105,3,8,800,12
54,80.0,1.0,1,105,13,1,780,12
55,80.0,1.0,1,105,13,3,780,12
56,80.0,1.0,1,105,13,5,780,12
57,80.0,1.0,1,105,13,6,780,12
58,81.5,15.0,3.5,105,29,0.5,750,12
59,81.5,15.0,3.5,105,29,1,750,12
60,81.5,15.0,3.5,105,29,5,750,12
61,88.0,2.5,9.5,105,0,1,760,16
62,88.0,2.5,9.5,105,0,2,760,16
63,88.0,2.5,9.5,105,0,3,760,16
64,90.0,5.0,5,101,1,0.4,750,10
65,90.0,5.0,5,101,1,1,750,10
66,100.0,0.0,0,105,6,5,800,12
67,100.0,0.0,0,105,6,10,800,12
68,100.0,0.0,0,105,6,15,800,12
69,100.0,0.0,0,105,6,20,800,12
70,80.0,1.0,1,105,4,0.5,750,12
71,80.0,1.0,1,105,4,1,750,12
72,80.0,1.0,1,105,4,2,750,12
73,89.7,5.0,5,101,20,3,750,10
74,90.0,0.0,10,105,24,3,750,12
75,90.0,0.0,10,105,24,5,750,12
76,90.0,0.0,10,105,24,7,750,12
77,90.0,0.0,10,105,24,9,750,12
78,60.0,20.0,20,108,16,0.5,870,15
79,60.0,20.0,20,108,16,1,870,15
80,60.0,20.0,20,108,16,2,870,15
81,80.0,10.0,10,105,13,1.5,750,10
82,80.0,10.0,10,105,0,"1,5",750,10
83,80.0,10.0,10,105,19,1.5,750,10
84,80.0,10.0,10,105,24,"1,5",750,10
85,80.0,10.0,10,105,29,"1,5",750,10
86,80.0,10.0,10,105,21,"1,5",750,10
2,94.0,0.0,6,101,13,0.02,680,15
3,92.0,36.0,44,101,0,1,750,10
4,92.0,36.0,44,101,16,1,750,10
6,90.0,10.0,0,105,16,0.5,770,20
7,90.0,10.0,0,105,16,1,770,20
8,90.0,10.0,0,105,16,2,770,20
9,80.0,10.0,10,105,2,5,775,15
10,80.0,10.0,10,105,5,5,775,15
11,80.0,10.0,10,105,8,5,775,15
13,80.0,7.0,10,105,13,3,850,12
14,80.0,7.0,10,105,7,3,850,12
18,90.0,5.0,5,104,14,0.5,760,10
19,90.0,5.0,5,104,14,1,760,10
20,90.0,5.0,5,104,14,1.5,760,10
21,0.76,0.14,0.09,105,0,1,790,12
22,0.75,0.14,0.09,105,0,2,790,12
23,90.0,0.0,10,102,12,0.003,730,10
24,83.0,5.0,12,105,16,1,730,12
25,89.9,5.0,5,101,26,0.5,770,10
26,89.6,4.7,4.7,101,26,1,770,10
27,80.0,10.0,10,105,13,0.03,780,12
28,80.0,10.0,10,105,18,2.5,800,12
29,80.0,10.0,10,105,18,5,800,12
30,80.0,10.0,10,105,18,7.5,800,12
31,90.0,2.0,8,105,13,2,710,15
32,90.0,2.0,8,105,21,1,710,15
34,90.0,5.0,5,101,1,0.4,750,10
35,90.0,5.0,5,101,1,1,750,10
36,92.0,4.0,4,105,26,0.25,780,10
37,92.0,4.0,4,105,26,0.5,780,10
38,92.0,4.0,4,105,26,1,780,10
39,92.0,4.0,4,105,26,2,780,10
40,90.0,0.0,10,105,23,0.5,750,15
41,90.0,0.0,10,105,23,1,750,15
42,90.0,0.0,10,105,23,2,750,15
43,94.0,1.5,4.5,103,10,0.1,680,24
44,94.0,1.5,4.5,103,10,0.25,680,24
45,80.0,10.0,10,105,24,1.5,900,10
46,80.0,10.0,10,105,24,1.6,900,10
47,80.0,10.0,10,105,16,0.5,650,6
49,95.0,2.5,2.5,101,26,0.01,700,10
50,95.0,2.5,2.5,101,8,0.01,700,10
52,80.0,10.0,10,105,8,2,720,12
53,80.0,10.0,10,105,8,4,720,12
54,80.0,10.0,10,105,8,6,720,12
55,80.0,10.0,10,105,8,8,720,12
56,94.0,3.0,3,103,29,0.15,680,24
57,94.0,3.0,3,103,10,0.1,680,24
59,90.0,5.0,5,101,4,1,800,30
60,90.0,5.0,5,101,4,2,850,30
61,80.0,10.0,10,101,27,1,780,15
62,80.0,10.0,10,101,27,2,780,15
63,80.0,10.0,10,101,27,3,780,15
64,80.0,10.0,10,101,27,4,780,15
65,80.0,10.0,10,101,27,1,780,15
66,80.0,10.0,10,101,27,2,780,15
67,80.0,10.0,10,101,27,3,780,15
68,80.0,10.0,10,101,27,4,780,15
69,94.0,0.0,4,103,28,2,640,15
70,85.0,5.0,10,105,16,0.3,760,6
71,90.0,0.0,10,101,1,0.5,730,10
72,90.0,0.0,10,101,1,1,730,10
73,90.0,0.0,10,101,1,1.5,730,10
74,90.0,0.0,10,101,1,2,730,10
75,90.0,0.0,10,101,1,1.5,750,10
76,90.0,0.0,10,101,1,1.5,780,10
77,94.0,3.0,3,103,1,0.25,680,24
1,95.0,2.0,3,101,0,1,680,10
2,95.0,2.0,3,101,0,1,700,10
3,95.0,2.0,3,101,0,1,730,10
4,95.0,2.0,3,101,0,1,750,10
21,80.0,10.0,10,105,16,0.5,750,20
22,80.0,10.0,10,105,16,0.5,750,20
24,94.0,1.5,4.5,103,10,0.1,680,24
25,94.0,1.5,4.5,103,10,0.25,680,24
26,80.0,10.0,10,102,7,0.5,800,16
27,80.0,10.0,10,102,7,1,800,16
28,80.0,10.0,10,102,7,2,800,16
29,92.0,4.0,4,101,0,1,750,10
30,92.0,4.0,4,101,0,3,750,10
31,92.0,4.0,4,101,0,5,750,10
37,83.0,6.0,11,115,22,0.5,760,18
38,83.0,6.0,11,115,22,1,760,18
39,92.0,4.0,4,105,24,1,790,15
40,92.0,4.0,4,105,24,2,790,15
41,92.0,4.0,4,105,24,3,790,15
46,85.0,5.0,8,105,0,2,750,10
47,85.0,5.0,6,105,0,4,750,10
48,70.0,30.0,0,105,8,1,450,12
49,80.0,20.0,0,105,8,2,450,12
50,90.0,10.0,0,105,8,4,450,12
55,80.0,0.0,20,110,24,1.25,750,12
56,80.0,0.0,20,110,24,2.5,750,12
57,80.0,0.0,20,110,24,5,750,12
58,99.5,0.0,0,103,16,0.5,730,16
59,99.0,0.0,0,103,16,1,730,16
60,98.0,0.0,0,103,16,2,730,16
61,89.6,4.7,4.7,101,26,0.5,770,10
62,89.6,4.7,4.7,101,26,1,770,10
63,90.0,5.0,5,105,26,0.1,680,15
64,90.0,5.0,5,105,26,0.5,680,15
65,90.0,5.0,5,105,26,1,680,15
66,100.0,0.0,0,101,26,1,770,10
67,100.0,0.0,0,101,26,1.5,790,10
68,100.0,0.0,0,101,26,2,810,10
72,80.0,10.0,10,105,21,0.25,750,10
73,90.0,5.0,5,101,20,0.3,750,10
74,96.0,0.0,4,101,14,1,700,10
75,96.0,0.0,4,101,14,1,700,30
76,96.0,0.0,4,101,14,1,700,60
80,96.0,0.0,4,101,26,1,800,10
81,96.0,0.0,4,101,17,1,800,10
82,96.0,0.0,4,101,16,1,800,10
83,96.0,0.0,4,101,21,1,800,10
84,96.0,0.0,4,101,24,1,800,10
85,96.0,0.0,4,101,0,1,800,10
1,92.0,4.0,4,100,26,1,780,10
2,92.0,4.0,4,100,26,2,780,10
3,92.0,4.0,4,100,26,0.5,780,10
4,92.0,4.0,4,100,26,0.25,780,10
5,88.8,5.6,5.6,100,16,0.35,780,10
6,88.8,5.6,5.6,100,16,0.7,780,10
7,88.8,5.6,5.6,100,16,1,780,10
9,85.0,0.0,10,105,0,5,750,15
13,90.0,0.0,7,105,0,3,750,20
15,80.0,10.0,10,105,27,0.5,850,15
16,80.0,10.0,10,105,27,1,850,15
17,80.0,10.0,10,105,27,1.5,850,15
18,80.0,10.0,10,105,27,0.5,850,15
19,80.0,10.0,10,105,27,1,850,15
20,80.0,10.0,10,105,27,1.5,850,15
21,90.0,10.0,0,105,16,0.5,770,20
22,90.0,10.0,0,105,16,1,770,20
23,90.0,10.0,0,105,16,2,770,20
24,100.0,0.0,0,103,0,3,730,16
25,100.0,0.0,0,103,0,5,730,16
26,100.0,0.0,0,103,0,7,730,16
27,90.0,10.0,0,103,26,1,720,12
28,90.0,10.0,0,103,13,1,720,12
30,94.0,0.0,4,105,0,2,750,20
32,95.0,0.0,5,104,14,0.5,760,10
33,95.0,0.0,5,104,14,1,760,10
34,95.0,0.0,5,104,14,1.5,760,10
35,81.5,0.0,15,105,0,3.5,750,21
42,90.0,10.0,0,104,24,2.5,750,12
43,90.0,5.0,5,101,0,0.5,750,28
44,90.0,5.0,5,101,0,1,750,28
45,90.0,5.0,5,101,0,2,750,28
46,90.0,5.0,5,101,0,3,750,28
47,90.0,5.0,5,101,0,5,750,28
48,90.0,10.0,0,103,24,1,800,12
49,90.0,10.0,0,103,24,2,800,12
50,90.0,10.0,0,103,24,5,800,12
51,90.0,10.0,0,103,29,1,800,12
52,90.0,10.0,0,103,29,2,800,12
53,90.0,10.0,0,103,29,5,800,12
54,90.0,10.0,0,103,11,1,800,12
55,90.0,10.0,0,103,11,2,800,12
56,90.0,10.0,0,103,11,5,800,12
57,95.0,5.0,0,105,0,1,730,16
58,95.0,5.0,0,105,0,3,730,16
59,95.0,5.0,0,105,0,5,730,16
60,90.0,5.0,5,101,20,0.3,750,10
61,90.0,5.0,5,101,20,0.3,750,10
62,90.0,0.0,10,101,0,1.5,730,10
64,96.0,0.0,4,101,0,1,700,10
66,100.0,0.0,0,101,26,1,770,10
67,100.0,0.0,0,101,26,1.5,790,10
68,100.0,0.0,0,101,26,2,810,10
69,100.0,0.0,0,101,29,0.5,650,10
70,96.0,0.0,4,101,0,1,700,10
71,96.0,0.0,4,101,14,0.5,700,10
72,96.0,0.0,4,101,14,1,700,10
73,96.0,0.0,4,101,14,1.5,700,10
74,96.0,0.0,4,101,14,2,700,10
75,92.0,4.0,4,101,0,1,750,10
76,92.0,4.0,4,101,0,3,750,10
77,92.0,4.0,4,101,0,5,750,10
78,81.5,0.0,15,105,0,3.5,750,15
80,80.0,0.0,15,115,0,5,720,15
